source_dataset,SP_CNES,first_observed_month,left_censored_prevalent_202101,ever_maintained_6of12,any_cessation_event,any_recovery_event,maintained_first_completed_12m,maintained_last_evaluable_window,last_evaluable_window_month,first_observed_year,source_artifact,source_sha256
maintenance_risk_set,0000396,202106,False,True,True,True,False,True,202512,2021,aim1_hospital_continuity.parquet,528628b255700c3c5a266029ef99a9c863d86aef97ad08e0d26f7905e3adcd01
maintenance_risk_set,0000418,202302,False,True,False,False,False,True,202512,2023,aim1_hospital_continuity.parquet,528628b255700c3c5a266029ef99a9c863d86aef97ad08e0d26f7905e3adcd01
maintenance_risk_set,0000426,202312,False,True,False,False,True,True,202512,2023,aim1_hospital_continuity.parquet,528628b255700c3c5a266029ef99a9c863d86aef97ad08e0d26f7905e3adcd01
maintenance_risk_set,0000434,202101,True,True,False,False,True,True,202512,2021,aim1_hospital_continuity.parquet,528628b255700c3c5a266029ef99a9c863d86aef97ad08e0d26f7905e3adcd01
maintenance_risk_set,0000477,202108,False,True,False,False,True,True,202512,2021,aim1_hospital_continuity.parquet,528628b255700c3c5a266029ef99a9c863d86aef97ad08e0d26f7905e3adcd01
maintenance_risk_set,0000655,202202,False,True,False,False,True,True,202512,2022,aim1_hospital_continuity.parquet,528628b255700c3c5a266029ef99a9c863d86aef97ad08e0d26f7905e3adcd01
maintenance_risk_set,0002283,202108,False,True,False,False,True,True,202512,2021,aim1_hospital_continuity.parquet,528628b255700c3c5a266029ef99a9c863d86aef97ad08e0d26f7905e3adcd01
maintenance_risk_set,0002534,202102,False,True,True,True,True,False,202512,2021,aim1_hospital_continuity.parquet,528628b255700c3c5a266029ef99a9c863d86aef97ad08e0d26f7905e3adcd01
maintenance_risk_set,0003816,202102,False,True,False,False,True,True,202512,2021,aim1_hospital_continuity.parquet,528628b255700c3c5a266029ef99a9c863d86aef97ad08e0d26f7905e3adcd01
maintenance_risk_set,0003832,202407,False,False,True,True,False,False,202512,2024,aim1_hospital_continuity.parquet,528628b255700c3c5a266029ef99a9c863d86aef97ad08e0d26f7905e3adcd01
maintenance_risk_set,0003859,202104,False,True,False,False,True,True,202512,2021,aim1_hospital_continuity.parquet,528628b255700c3c5a266029ef99a9c863d86aef97ad08e0d26f7905e3adcd01
