source_dataset,cohort,competence_month,n_unique_aih,n_active_hospitals,n_active_provider_municipalities,source_artifact,source_sha256,year,adult_population,total_population,denominator_population,rate_per_100k,denominator_definition
monthly_observed_uptake,A,202101,105,23.0,22.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202102,315,57.0,45.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202103,381,73.0,52.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202104,449,76.0,53.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202105,463,86.0,61.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202106,541,101.0,69.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202107,593,95.0,63.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202108,734,108.0,73.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202109,900,115.0,72.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202110,846,119.0,75.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
monthly_observed_uptake,A,202111,846,125.0,79.0,aim1_monthly_national.parquet,6d2f4fff42fcae7a60358b26ad343afc15a0098be32301557c53cf580b9b4f2d,NA,NA,NA,NA,NA,NA
