source_dataset,quintile,n,adult_person_years,crude_rate_per_100k,age_sex_standardised_rate_per_100k,standardised_lo95,standardised_hi95,bootstrap_municipalities,exposure,source_artifact,source_sha256
equity_standardised_rates,1,7237,161960626.0,4.46836998518393,4.303824535733589,3.857062582129771,4.763750267496872,1104,IVS_2010_population_weighted_quintile,equity_quintile_standardised_rates.csv,f115fc2ab22f2692d95b585932e8021a539c4db693a3a79393e110937a0a7f97
equity_standardised_rates,2,6576,159164563.0,4.131572930590084,4.005293065065142,3.501301642838342,4.490586810609439,1024,IVS_2010_population_weighted_quintile,equity_quintile_standardised_rates.csv,f115fc2ab22f2692d95b585932e8021a539c4db693a3a79393e110937a0a7f97
equity_standardised_rates,3,6144,162171599.0,3.788579528034376,3.6922343393153008,2.9755574064897616,5.003954921316675,445,IVS_2010_population_weighted_quintile,equity_quintile_standardised_rates.csv,f115fc2ab22f2692d95b585932e8021a539c4db693a3a79393e110937a0a7f97
equity_standardised_rates,4,7874,157376673.0,5.003282792742734,5.082822364546349,4.059290327618404,5.967125155107243,899,IVS_2010_population_weighted_quintile,equity_quintile_standardised_rates.csv,f115fc2ab22f2692d95b585932e8021a539c4db693a3a79393e110937a0a7f97
equity_standardised_rates,5,5660,160202551.0,3.5330273860620363,3.658811981081146,3.3010525975677987,3.967701996714826,2093,IVS_2010_population_weighted_quintile,equity_quintile_standardised_rates.csv,f115fc2ab22f2692d95b585932e8021a539c4db693a3a79393e110937a0a7f97
equity_standardised_rates,1,5787,159778121.0,3.621897643920847,3.683342796989156,3.433003901855052,3.95832024780376,3005,ANS_supplementary_coverage_population_weighted_quintile,equity_quintile_standardised_rates.csv,f115fc2ab22f2692d95b585932e8021a539c4db693a3a79393e110937a0a7f97
equity_standardised_rates,2,6801,159872833.0,4.254006057426905,4.261340235092479,3.66469761828363,4.907772375118175,1838,ANS_supplementary_coverage_population_weighted_quintile,equity_quintile_standardised_rates.csv,f115fc2ab22f2692d95b585932e8021a539c4db693a3a79393e110937a0a7f97
equity_standardised_rates,3,6969,160707154.0,4.336459097520947,4.342380507814395,3.7104469426535167,5.062027451339251,802,ANS_supplementary_coverage_population_weighted_quintile,equity_quintile_standardised_rates.csv,f115fc2ab22f2692d95b585932e8021a539c4db693a3a79393e110937a0a7f97
equity_standardised_rates,4,8460,159433602.0,5.306284179667471,5.249281280974505,4.268944622635207,6.09393248020905,345,ANS_supplementary_coverage_population_weighted_quintile,equity_quintile_standardised_rates.csv,f115fc2ab22f2692d95b585932e8021a539c4db693a3a79393e110937a0a7f97
equity_standardised_rates,5,5412,158725264.0,3.4096651431620866,3.270779442590649,2.6467825280446062,3.9688486214484686,105,ANS_supplementary_coverage_population_weighted_quintile,equity_quintile_standardised_rates.csv,f115fc2ab22f2692d95b585932e8021a539c4db693a3a79393e110937a0a7f97
