route_status,travel_bin_lower_min,travel_bin_upper_min,travel_bin_label,route_source,cross_municipality,cross_state,weighted_n_aih_display,source_dataset,source_artifact,source_sha256
NOT_ROUTED,NA,NA,NOT_ROUTED,request,False,False,22,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
NOT_ROUTED,NA,NA,NOT_ROUTED,request,True,False,151,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
NOT_ROUTED,NA,NA,NOT_ROUTED,request,True,True,<5,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,0.0,15.0,0-<15,prior_stage04_cache,False,False,15567,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,0.0,15.0,0-<15,prior_stage04_cache,True,False,385,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,15.0,30.0,15-<30,prior_stage04_cache,True,False,1571,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,15.0,30.0,15-<30,request,True,False,<5,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,30.0,45.0,30-<45,prior_stage04_cache,True,False,2105,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,30.0,45.0,30-<45,prior_stage04_cache,True,True,<5,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,30.0,45.0,30-<45,request,True,False,12,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,45.0,60.0,45-<60,prior_stage04_cache,True,False,1858,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,45.0,60.0,45-<60,prior_stage04_cache,True,True,<5,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,45.0,60.0,45-<60,request,True,False,<5,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,60.0,75.0,60-<75,prior_stage04_cache,True,False,1727,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,60.0,75.0,60-<75,prior_stage04_cache,True,True,19,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,60.0,75.0,60-<75,request,True,False,9,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,75.0,90.0,75-<90,prior_stage04_cache,True,False,1237,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,75.0,90.0,75-<90,prior_stage04_cache,True,True,11,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,75.0,90.0,75-<90,request,True,False,5,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,90.0,105.0,90-<105,prior_stage04_cache,True,False,1170,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,90.0,105.0,90-<105,prior_stage04_cache,True,True,<5,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,90.0,105.0,90-<105,request,True,False,6,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,105.0,120.0,105-<120,prior_stage04_cache,True,False,718,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,105.0,120.0,105-<120,prior_stage04_cache,True,True,17,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
ROUTED,105.0,120.0,105-<120,request,True,False,<5,realised_travel_15_minute_weighted_bins,pair_year_routes.parquet,e3e332752a6adecc500b432884d87171d93dc064230669ba62e93dce34a6d2ad
