source_dataset,node,weighted_betweenness_inverse_flow_cost,layer,cohort,year,source_artifact,source_sha256,in_strength_display
target_centrality,T:0000396,0.0,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,<5
target_centrality,T:0000434,2070.0,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,52
target_centrality,T:0000477,95.0,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,<5
target_centrality,T:0002283,80.5,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,18
target_centrality,T:0002534,14.5,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,5
target_centrality,T:0003816,2825.0,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,7
target_centrality,T:0003859,204428.0,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,247
target_centrality,T:0008923,0.0,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,<5
target_centrality,T:0009628,3.0,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,18
target_centrality,T:0009709,2871.0,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,22
target_centrality,T:0009725,0.0,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,<5
target_centrality,T:0010456,7.0,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,6
target_centrality,T:0010464,0.0,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,<5
target_centrality,T:0010499,0.0,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,21
target_centrality,T:0010510,7.0,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,<5
target_centrality,T:0011800,0.0,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,<5
target_centrality,T:0012505,5645.0,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,28
target_centrality,T:0012556,0.0,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,<5
target_centrality,T:0013633,124494.5,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,47
target_centrality,T:0014109,0.0,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,<5
target_centrality,T:0015318,0.0,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,<5
target_centrality,T:0015369,1413.0,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,8
target_centrality,T:0015407,2827.5,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,24
target_centrality,T:0015423,0.0,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,5
target_centrality,T:0015644,18041.5,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,45
target_centrality,T:0019402,0.0,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,<5
target_centrality,T:0026808,0.0,cnes,A,2021,aim3_target_metrics_v2.parquet,374e15163c404aa19bf8453d170490862689d4b0db1c5d34b0e6dea8f075e1b8,<5
