source_dataset,cohort,year,res_municipio,SP_CNES,layer,target_node,treat_municipio,n_aih_display,source_artifact,source_sha256
suppressed_patient_flow_network_edges,A,2021,110002,7068336.0,cnes,7068336,NA,<5,aim3_patient_flow_edges_display_v2.csv,f571d5641c01ba003e330a274be21098fa3d97fe316abf49f3330c8f5dfc5bc4
suppressed_patient_flow_network_edges,A,2021,110004,4001303.0,cnes,4001303,NA,<5,aim3_patient_flow_edges_display_v2.csv,f571d5641c01ba003e330a274be21098fa3d97fe316abf49f3330c8f5dfc5bc4
suppressed_patient_flow_network_edges,A,2021,110011,27049.0,cnes,27049,NA,<5,aim3_patient_flow_edges_display_v2.csv,f571d5641c01ba003e330a274be21098fa3d97fe316abf49f3330c8f5dfc5bc4
suppressed_patient_flow_network_edges,A,2021,110012,2561492.0,cnes,2561492,NA,<5,aim3_patient_flow_edges_display_v2.csv,f571d5641c01ba003e330a274be21098fa3d97fe316abf49f3330c8f5dfc5bc4
suppressed_patient_flow_network_edges,A,2021,110012,7068336.0,cnes,7068336,NA,<5,aim3_patient_flow_edges_display_v2.csv,f571d5641c01ba003e330a274be21098fa3d97fe316abf49f3330c8f5dfc5bc4
suppressed_patient_flow_network_edges,A,2021,110013,4001303.0,cnes,4001303,NA,<5,aim3_patient_flow_edges_display_v2.csv,f571d5641c01ba003e330a274be21098fa3d97fe316abf49f3330c8f5dfc5bc4
suppressed_patient_flow_network_edges,A,2021,110015,7068336.0,cnes,7068336,NA,<5,aim3_patient_flow_edges_display_v2.csv,f571d5641c01ba003e330a274be21098fa3d97fe316abf49f3330c8f5dfc5bc4
suppressed_patient_flow_network_edges,A,2021,110020,7068336.0,cnes,7068336,NA,11,aim3_patient_flow_edges_display_v2.csv,f571d5641c01ba003e330a274be21098fa3d97fe316abf49f3330c8f5dfc5bc4
suppressed_patient_flow_network_edges,A,2021,110025,7068336.0,cnes,7068336,NA,<5,aim3_patient_flow_edges_display_v2.csv,f571d5641c01ba003e330a274be21098fa3d97fe316abf49f3330c8f5dfc5bc4
suppressed_patient_flow_network_edges,A,2021,110030,3157245.0,cnes,3157245,NA,<5,aim3_patient_flow_edges_display_v2.csv,f571d5641c01ba003e330a274be21098fa3d97fe316abf49f3330c8f5dfc5bc4
suppressed_patient_flow_network_edges,A,2021,110030,7068336.0,cnes,7068336,NA,<5,aim3_patient_flow_edges_display_v2.csv,f571d5641c01ba003e330a274be21098fa3d97fe316abf49f3330c8f5dfc5bc4
suppressed_patient_flow_network_edges,A,2021,110033,7068336.0,cnes,7068336,NA,<5,aim3_patient_flow_edges_display_v2.csv,f571d5641c01ba003e330a274be21098fa3d97fe316abf49f3330c8f5dfc5bc4
suppressed_patient_flow_network_edges,A,2021,110060,7068336.0,cnes,7068336,NA,<5,aim3_patient_flow_edges_display_v2.csv,f571d5641c01ba003e330a274be21098fa3d97fe316abf49f3330c8f5dfc5bc4
suppressed_patient_flow_network_edges,A,2021,110080,4001303.0,cnes,4001303,NA,<5,aim3_patient_flow_edges_display_v2.csv,f571d5641c01ba003e330a274be21098fa3d97fe316abf49f3330c8f5dfc5bc4
suppressed_patient_flow_network_edges,A,2021,120040,13633.0,cnes,13633,NA,<5,aim3_patient_flow_edges_display_v2.csv,f571d5641c01ba003e330a274be21098fa3d97fe316abf49f3330c8f5dfc5bc4
suppressed_patient_flow_network_edges,A,2021,130115,2561492.0,cnes,2561492,NA,<5,aim3_patient_flow_edges_display_v2.csv,f571d5641c01ba003e330a274be21098fa3d97fe316abf49f3330c8f5dfc5bc4
suppressed_patient_flow_network_edges,A,2021,130260,2017644.0,cnes,2017644,NA,<5,aim3_patient_flow_edges_display_v2.csv,f571d5641c01ba003e330a274be21098fa3d97fe316abf49f3330c8f5dfc5bc4
suppressed_patient_flow_network_edges,A,2021,130260,2561492.0,cnes,2561492,NA,<5,aim3_patient_flow_edges_display_v2.csv,f571d5641c01ba003e330a274be21098fa3d97fe316abf49f3330c8f5dfc5bc4
suppressed_patient_flow_network_edges,A,2021,130423,2012685.0,cnes,2012685,NA,<5,aim3_patient_flow_edges_display_v2.csv,f571d5641c01ba003e330a274be21098fa3d97fe316abf49f3330c8f5dfc5bc4
suppressed_patient_flow_network_edges,A,2021,150010,2332981.0,cnes,2332981,NA,<5,aim3_patient_flow_edges_display_v2.csv,f571d5641c01ba003e330a274be21098fa3d97fe316abf49f3330c8f5dfc5bc4
suppressed_patient_flow_network_edges,A,2021,150034,2090236.0,cnes,2090236,NA,<5,aim3_patient_flow_edges_display_v2.csv,f571d5641c01ba003e330a274be21098fa3d97fe316abf49f3330c8f5dfc5bc4
suppressed_patient_flow_network_edges,A,2021,150060,5597501.0,cnes,5597501,NA,<5,aim3_patient_flow_edges_display_v2.csv,f571d5641c01ba003e330a274be21098fa3d97fe316abf49f3330c8f5dfc5bc4
suppressed_patient_flow_network_edges,A,2021,150080,2332981.0,cnes,2332981,NA,8,aim3_patient_flow_edges_display_v2.csv,f571d5641c01ba003e330a274be21098fa3d97fe316abf49f3330c8f5dfc5bc4
suppressed_patient_flow_network_edges,A,2021,150080,2561492.0,cnes,2561492,NA,<5,aim3_patient_flow_edges_display_v2.csv,f571d5641c01ba003e330a274be21098fa3d97fe316abf49f3330c8f5dfc5bc4
suppressed_patient_flow_network_edges,A,2021,150080,9917322.0,cnes,9917322,NA,<5,aim3_patient_flow_edges_display_v2.csv,f571d5641c01ba003e330a274be21098fa3d97fe316abf49f3330c8f5dfc5bc4
suppressed_patient_flow_network_edges,A,2021,150090,2332981.0,cnes,2332981,NA,<5,aim3_patient_flow_edges_display_v2.csv,f571d5641c01ba003e330a274be21098fa3d97fe316abf49f3330c8f5dfc5bc4
suppressed_patient_flow_network_edges,A,2021,150130,2332981.0,cnes,2332981,NA,<5,aim3_patient_flow_edges_display_v2.csv,f571d5641c01ba003e330a274be21098fa3d97fe316abf49f3330c8f5dfc5bc4
suppressed_patient_flow_network_edges,A,2021,150130,9917322.0,cnes,9917322,NA,<5,aim3_patient_flow_edges_display_v2.csv,f571d5641c01ba003e330a274be21098fa3d97fe316abf49f3330c8f5dfc5bc4
suppressed_patient_flow_network_edges,A,2021,150140,2332981.0,cnes,2332981,NA,34,aim3_patient_flow_edges_display_v2.csv,f571d5641c01ba003e330a274be21098fa3d97fe316abf49f3330c8f5dfc5bc4
suppressed_patient_flow_network_edges,A,2021,150140,2561492.0,cnes,2561492,NA,<5,aim3_patient_flow_edges_display_v2.csv,f571d5641c01ba003e330a274be21098fa3d97fe316abf49f3330c8f5dfc5bc4
