source_dataset,threshold_minutes,scenario,n_removed,removed_service_municipio,newly_uncovered_complete_case,newly_uncovered_upper_bound,adult_population_complete_case,adult_population_missing_anchor,adult_population_covered,adult_population_uncovered,adult_population_uncovered_upper_bound,n_complete_case_municipality_year,n_missing_anchor_municipality_year,newly_uncovered_complete_case_display,newly_uncovered_upper_bound_display,source_artifact,source_sha256
targeted_structural_stress_test,120,sequential_top_B_in_strength,1,355030,8408.0,8408.0,801096930.0,3973.0,621156047.0,179940883.0,179944856.0,27850,1,8408,8408,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,2,292740,77314.0,77314.0,801096930.0,3973.0,621087141.0,180009789.0,180013762.0,27850,1,77314,77314,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,3,240310,1540067.0,1540067.0,801096930.0,3973.0,619624388.0,181472542.0,181476515.0,27850,1,1540067,1540067,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,4,230440,18457403.0,18457403.0,801096930.0,3973.0,602707052.0,198389878.0,198393851.0,27850,1,18457403,18457403,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,5,261160,20525680.0,20525680.0,801096930.0,3973.0,600638775.0,200458155.0,200462128.0,27850,1,20525680,20525680,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,6,310620,23163747.0,23163747.0,801096930.0,3973.0,598000708.0,203096222.0,203100195.0,27850,1,23163747,23163747,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,7,260410,30538016.0,30538016.0,801096930.0,3973.0,590626439.0,210470491.0,210474464.0,27850,1,30538016,30538016,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,8,431490,36134877.0,36134877.0,801096930.0,3973.0,585029578.0,216067352.0,216071325.0,27850,1,36134877,36134877,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,9,130260,44514054.0,44514054.0,801096930.0,3973.0,576650401.0,224446529.0,224450502.0,27850,1,44514054,44514054,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,10,330455,44604594.0,44604594.0,801096930.0,3973.0,576559861.0,224537069.0,224541042.0,27850,1,44604594,44604594,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,11,354980,44708822.0,44708822.0,801096930.0,3973.0,576455633.0,224641297.0,224645270.0,27850,1,44708822,44708822,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,12,211130,51016900.0,51016900.0,801096930.0,3973.0,570147555.0,230949375.0,230953348.0,27850,1,51016900,51016900,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,13,431690,52198971.0,52198971.0,801096930.0,3973.0,568965484.0,232131446.0,232135419.0,27850,1,52198971,52198971,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,14,411370,52221741.0,52221741.0,801096930.0,3973.0,568942714.0,232154216.0,232158189.0,27850,1,52221741,52221741,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,15,320530,52261924.0,52261924.0,801096930.0,3973.0,568902531.0,232194399.0,232198372.0,27850,1,52261924,52261924,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,16,350950,52261924.0,52261924.0,801096930.0,3973.0,568902531.0,232194399.0,232198372.0,27850,1,52261924,52261924,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,17,350600,52261924.0,52261924.0,801096930.0,3973.0,568902531.0,232194399.0,232198372.0,27850,1,52261924,52261924,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,18,354140,53494595.0,53494595.0,801096930.0,3973.0,567669860.0,233427070.0,233431043.0,27850,1,53494595,53494595,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,19,410690,53749846.0,53749846.0,801096930.0,3973.0,567414609.0,233682321.0,233686294.0,27850,1,53749846,53749846,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,20,520870,54186965.0,54186965.0,801096930.0,3973.0,566977490.0,234119440.0,234123413.0,27850,1,54186965,54186965,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,21,313670,55123033.0,55123033.0,801096930.0,3973.0,566041422.0,235055508.0,235059481.0,27850,1,55123033,55123033,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,22,320500,57489252.0,57489252.0,801096930.0,3973.0,563675203.0,237421727.0,237425700.0,27850,1,57489252,57489252,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,23,530010,70864398.0,70864398.0,801096930.0,3973.0,550300057.0,250796873.0,250800846.0,27850,1,70864398,70864398,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,24,150140,75837811.0,75837811.0,801096930.0,3973.0,545326644.0,255770286.0,255774259.0,27850,1,75837811,75837811,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,25,355220,76084547.0,76084547.0,801096930.0,3973.0,545079908.0,256017022.0,256020995.0,27850,1,76084547,76084547,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,26,291080,94480674.0,94480674.0,801096930.0,3973.0,526683781.0,274413149.0,274417122.0,27850,1,94480674,94480674,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,27,317020,96403936.0,96403936.0,801096930.0,3973.0,524760519.0,276336411.0,276340384.0,27850,1,96403936,96403936,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,28,280030,103920699.0,103920699.0,801096930.0,3973.0,517243756.0,283853174.0,283857147.0,27850,1,103920699,103920699,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,29,420540,103920699.0,103920699.0,801096930.0,3973.0,517243756.0,283853174.0,283857147.0,27850,1,103920699,103920699,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,30,420290,103975245.0,103975245.0,801096930.0,3973.0,517189210.0,283907720.0,283911693.0,27850,1,103975245,103975245,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,31,410480,105014434.0,105014434.0,801096930.0,3973.0,516150021.0,284946909.0,284950882.0,27850,1,105014434,105014434,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,32,510340,108172292.0,108172292.0,801096930.0,3973.0,512992163.0,288104767.0,288108740.0,27850,1,108172292,108172292,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,33,430510,108619768.0,108619768.0,801096930.0,3973.0,512544687.0,288552243.0,288556216.0,27850,1,108619768,108619768,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,34,351880,108619768.0,108619768.0,801096930.0,3973.0,512544687.0,288552243.0,288556216.0,27850,1,108619768,108619768,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,35,352590,108619768.0,108619768.0,801096930.0,3973.0,512544687.0,288552243.0,288556216.0,27850,1,108619768,108619768,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,36,500270,112202571.0,112202571.0,801096930.0,3973.0,508961884.0,292135046.0,292139019.0,27850,1,112202571,112202571,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,37,221100,117181471.0,117181471.0,801096930.0,3973.0,503982984.0,297113946.0,297117919.0,27850,1,117181471,117181471,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,38,521930,117772802.0,117772802.0,801096930.0,3973.0,503391653.0,297705277.0,297709250.0,27850,1,117772802,117772802,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,39,315250,118213348.0,118213348.0,801096930.0,3973.0,502951107.0,298145823.0,298149796.0,27850,1,118213348,118213348,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,40,430860,121722368.0,121722368.0,801096930.0,3973.0,499442087.0,301654843.0,301658816.0,27850,1,121722368,121722368,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,41,521150,122320819.0,122320819.0,801096930.0,3973.0,498843636.0,302253294.0,302257267.0,27850,1,122320819,122320819,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,42,320120,123016245.0,123016245.0,801096930.0,3973.0,498148210.0,302948720.0,302952693.0,27850,1,123016245,123016245,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,43,354340,123016245.0,123016245.0,801096930.0,3973.0,498148210.0,302948720.0,302952693.0,27850,1,123016245,123016245,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,44,150680,124394304.0,124394304.0,801096930.0,3973.0,496770151.0,304326779.0,304330752.0,27850,1,124394304,124394304,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,45,354850,124516763.0,124516763.0,801096930.0,3973.0,496647692.0,304449238.0,304453211.0,27850,1,124516763,124516763,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,46,350570,124516763.0,124516763.0,801096930.0,3973.0,496647692.0,304449238.0,304453211.0,27850,1,124516763,124516763,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,47,354990,124516763.0,124516763.0,801096930.0,3973.0,496647692.0,304449238.0,304453211.0,27850,1,124516763,124516763,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,48,421010,125388303.0,125388303.0,801096930.0,3973.0,495776152.0,305320778.0,305324751.0,27850,1,125388303,125388303,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,49,420910,125831460.0,125831460.0,801096930.0,3973.0,495332995.0,305763935.0,305767908.0,27850,1,125831460,125831460,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,50,330390,128364741.0,128364741.0,801096930.0,3973.0,492799714.0,308297216.0,308301189.0,27850,1,128364741,128364741,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,51,312770,131528122.0,131528122.0,801096930.0,3973.0,489636333.0,311460597.0,311464570.0,27850,1,131528122,131528122,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,52,351620,131781607.0,131781607.0,801096930.0,3973.0,489382848.0,311714082.0,311718055.0,27850,1,131781607,131781607,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
targeted_structural_stress_test,120,sequential_top_B_in_strength,53,411520,132310556.0,132310556.0,801096930.0,3973.0,488853899.0,312243031.0,312247004.0,27850,1,132310556,132310556,aim3_resilience_sequential_display_v2.csv,c187c0857fbb8a084f8c7e383b4afa8c4151caf7e2f4a454593cfabeb24f6563
