result_id,display_label,value,value_type,unit,denominator_value,denominator_unit,evidence_level,limitation,missing_status,suppression_status,source_artifact,source_sha256
equity.ivs_rii,IVS relative index of inequality,0.549535309511008,numeric,rate ratio,27825.0,municipality-years,associational,IVS is an ecological contextual exposure and does not identify individual socioeconomic effects.,not_missing,not_suppressed,reports/stage07/aim2_v2/equity_audit.json,865a4d41778427f30c4080e0a7e6babebcf80630233d6915519e1af75958e978
equity.ivs_sii_per_100k,IVS slope index of inequality,-2.5588886262626054,numeric,"treated AIHs per 100,000 adults",27825.0,municipality-years,associational,IVS is an ecological contextual exposure and the association is not causal.,not_missing,not_suppressed,reports/stage07/aim2_v2/equity_audit.json,865a4d41778427f30c4080e0a7e6babebcf80630233d6915519e1af75958e978
travel.flow_weighted_median_min,Flow-weighted median realised route time,23.214916666666667,numeric,minutes,33321.0,AIHs with a route,descriptive,"Municipal anchors approximate residence and provider locations; this is realised treated flow, not direct patient travel.",not_missing,not_suppressed,reports/stage07/aim2_v2/travel_audit.json,81f403e90e28267a5a23b976e235514db51f2f2428a29ea86bee15e2a300c562
travel.flow_weighted_p90_min,Flow-weighted 90th percentile realised route time,213.41028333333333,numeric,minutes,33321.0,AIHs with a route,descriptive,"Municipal anchors approximate residence and provider locations; this is realised treated flow, not direct patient travel.",not_missing,not_suppressed,reports/stage07/aim2_v2/travel_audit.json,81f403e90e28267a5a23b976e235514db51f2f2428a29ea86bee15e2a300c562
travel.flow_weighted_share_gt120,Realised treated flow above 120 minutes,0.20662645178716124,numeric,proportion,33321.0,AIHs with a route,descriptive,This describes routed treated flows and cannot be interpreted as population access or unmet need.,not_missing,not_suppressed,reports/stage07/aim2_v2/travel_audit.json,81f403e90e28267a5a23b976e235514db51f2f2428a29ea86bee15e2a300c562
coverage.2021_adult_share_120,Adult population within 120 road-minutes in 2021,0.7188980822861266,numeric,proportion,157421555.0,adults,descriptive,"Modelled potential road access does not measure realised access, capacity, quality, or need.",not_missing,not_suppressed,reports/stage07/aim2_v2/coverage_audit.json,def7152332675f873bd541f21ba1dbf987a951e24700d56cca4dbd452623bca7
coverage.2021_adult_share_180,Adult population within 180 road-minutes in 2021,0.812337878380124,numeric,proportion,157421555.0,adults,descriptive,The cumulative 180-minute estimand unions raw 120- and 180-minute contours when GraphHopper approximation is non-nested.,not_missing,not_suppressed,reports/stage07/aim2_v2/coverage_audit.json,def7152332675f873bd541f21ba1dbf987a951e24700d56cca4dbd452623bca7
coverage.2025_adult_share_120,Adult population within 120 road-minutes in 2025,0.8210060822159997,numeric,proportion,163078720.0,anchored adults,descriptive,One 2025 municipality lacks a road anchor; anchored-denominator and bounds must be reported.,not_missing,not_suppressed,reports/stage07/aim2_v2/coverage_audit.json,def7152332675f873bd541f21ba1dbf987a951e24700d56cca4dbd452623bca7
coverage.2025_adult_share_180,Adult population within 180 road-minutes in 2025,0.9042038777346303,numeric,proportion,163078720.0,anchored adults,descriptive,One 2025 municipality lacks a road anchor; the cumulative geometry rule and bounds must be retained.,not_missing,not_suppressed,reports/stage07/aim2_v2/coverage_audit.json,def7152332675f873bd541f21ba1dbf987a951e24700d56cca4dbd452623bca7
coverage.anchor_coverage_all_years,Adult population road-anchor coverage,0.9999950405748076,numeric,proportion,801100903.0,adult person-years,descriptive,Municipalities without anchors remain unknown and are never recoded as uncovered.,not_missing,not_suppressed,reports/stage07/aim2_v2/coverage_audit.json,def7152332675f873bd541f21ba1dbf987a951e24700d56cca4dbd452623bca7
aim2.primary_family_status,Aim 2 primary-family inferential status,DOWNGRADE,string,status,NA,NA,associational,Modified-Poisson standardized potential-coverage predictions exceeded probability 1; the model was not rerun or relaxed.,not_applicable,not_applicable,reports/stage07/aim2_v3/primary_family_audit.json,4e96098c9dc41eaf5126b26766dc110c4d13167af0713e595697c1eac611b6ec
network.pooled_projection_nodes,Pooled patient-flow projection nodes,3338.0,numeric,municipalities,NA,NA,descriptive,"The patient-flow network reflects observed treated flows, not population need or referral appropriateness.",not_missing,not_suppressed,reports/stage07/aim3_v2/network_audit.json,88787a9357722548f621b21638cc98c76ae5378c56d8cec3ccc22acb829af12e
network.pooled_projection_edges,Pooled patient-flow projection edges,166959.0,numeric,edges,NA,NA,descriptive,Projection edges encode shared performing destinations and are not direct patient-to-patient links.,not_missing,not_suppressed,reports/stage07/aim3_v2/network_audit.json,88787a9357722548f621b21638cc98c76ae5378c56d8cec3ccc22acb829af12e
potential_access.complete_matrix_rows,Potential-access matrix rows,8723036.0,numeric,rows,NA,NA,descriptive,This is a modelled potential-access matrix and contains no capacity or realised-use inference.,not_missing,not_suppressed,reports/stage07/aim3_v2/potential_access/audit.json,2526925f8110e0af0269ac78c02074752b1d6761712b262b669cb6549d02451e
potential_access.reachable_rows,Reachable potential-access matrix rows,142299.0,numeric,rows,8723036.0,potential-access matrix rows,descriptive,"Reachability is potential road access, not observed service use or capacity.",not_missing,not_suppressed,reports/stage07/aim3_v2/potential_access/audit.json,2526925f8110e0af0269ac78c02074752b1d6761712b262b669cb6549d02451e
service_area.ivs_selected_municipalities,IVS municipal-total records selected,5565.0,numeric,municipalities,NA,NA,descriptive,The 2010 IVS is a static ecological contextual exposure carried across 2021-2025.,not_missing,not_suppressed,reports/stage07/aim3_v2/service_area/audit.json,6cf59a9d540808b84c0cffcd3a24019e5cef154673492b534c73ea17ec2c18bc
