file,column,definition,unit_or_allowed_values,missing_value
figure_1_cohort_funnel_source_data.csv,result_id,"See the frozen source-data manifest, SAP, and figure/table legend; no additional meaning inferred.",Declared in the file where explicit; otherwise consult the SAP.,Blank/NA where applicable; privacy-suppressed display cells may use <5.
figure_1_cohort_funnel_source_data.csv,display_label,"See the frozen source-data manifest, SAP, and figure/table legend; no additional meaning inferred.",Declared in the file where explicit; otherwise consult the SAP.,Blank/NA where applicable; privacy-suppressed display cells may use <5.
figure_1_cohort_funnel_source_data.csv,value,"See the frozen source-data manifest, SAP, and figure/table legend; no additional meaning inferred.",Declared in the file where explicit; otherwise consult the SAP.,Blank/NA where applicable; privacy-suppressed display cells may use <5.
figure_1_cohort_funnel_source_data.csv,value_type,"See the frozen source-data manifest, SAP, and figure/table legend; no additional meaning inferred.",Declared in the file where explicit; otherwise consult the SAP.,Blank/NA where applicable; privacy-suppressed display cells may use <5.
figure_1_cohort_funnel_source_data.csv,unit,"See the frozen source-data manifest, SAP, and figure/table legend; no additional meaning inferred.",Declared in the file where explicit; otherwise consult the SAP.,Blank/NA where applicable; privacy-suppressed display cells may use <5.
figure_1_cohort_funnel_source_data.csv,denominator_value,"See the frozen source-data manifest, SAP, and figure/table legend; no additional meaning inferred.",Declared in the file where explicit; otherwise consult the SAP.,Blank/NA where applicable; privacy-suppressed display cells may use <5.
figure_1_cohort_funnel_source_data.csv,denominator_unit,"See the frozen source-data manifest, SAP, and figure/table legend; no additional meaning inferred.",Declared in the file where explicit; otherwise consult the SAP.,Blank/NA where applicable; privacy-suppressed display cells may use <5.
figure_1_cohort_funnel_source_data.csv,evidence_level,"See the frozen source-data manifest, SAP, and figure/table legend; no additional meaning inferred.",Declared in the file where explicit; otherwise consult the SAP.,Blank/NA where applicable; privacy-suppressed display cells may use <5.
figure_1_cohort_funnel_source_data.csv,limitation,"See the frozen source-data manifest, SAP, and figure/table legend; no additional meaning inferred.",Declared in the file where explicit; otherwise consult the SAP.,Blank/NA where applicable; privacy-suppressed display cells may use <5.
figure_1_cohort_funnel_source_data.csv,missing_status,"See the frozen source-data manifest, SAP, and figure/table legend; no additional meaning inferred.",Declared in the file where explicit; otherwise consult the SAP.,Blank/NA where applicable; privacy-suppressed display cells may use <5.
figure_1_cohort_funnel_source_data.csv,suppression_status,"See the frozen source-data manifest, SAP, and figure/table legend; no additional meaning inferred.",Declared in the file where explicit; otherwise consult the SAP.,Blank/NA where applicable; privacy-suppressed display cells may use <5.
figure_1_cohort_funnel_source_data.csv,source_artifact,"See the frozen source-data manifest, SAP, and figure/table legend; no additional meaning inferred.",Declared in the file where explicit; otherwise consult the SAP.,Blank/NA where applicable; privacy-suppressed display cells may use <5.
figure_1_cohort_funnel_source_data.csv,source_sha256,"See the frozen source-data manifest, SAP, and figure/table legend; no additional meaning inferred.",Declared in the file where explicit; otherwise consult the SAP.,Blank/NA where applicable; privacy-suppressed display cells may use <5.
figure_1_policy_timeline_source_data.csv,date,"See the frozen source-data manifest, SAP, and figure/table legend; no additional meaning inferred.",Declared in the file where explicit; otherwise consult the SAP.,Blank/NA where applicable; privacy-suppressed display cells may use <5.
